,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id,CodigoUFEmitente,ChaveAcesso,DigitoVerificador,NaturezaOperacao,FormaPagamento,ModeloDocumentoFiscal,Serie,Numero,DataEmissao,TipoOperacao,CodigoCidadeFatoGerador,TipoEmissao,Finalidade,CNPJEmitente,NomeEmitente,CodigoProduto,DescricaoProduto,NCMProduto,CFOPProduto,UnidadeComercialProduto,QuantidadeComercialProduto,ValorUnitarioProduto,TOTAIS_ValorProdutos,ICMS_OrigemProduto,ICMS_TributacaoProduto,ICMS_ModalidadeBC,ICMS_ModalidadeBCST,ICMS_Aliquota,ICMS_Valor,ICMS_ValorBC,ICMS_ValorBCST,ICMS_PercentualMargemBCST,ICMS_PercentualReducaoBCST,ICMS_AliquotaICMSST,ICMS_ValorICMSST,IPI_Enquadramento,IPI_CNPJProdutor,IPI_SeloControle,IPI_SeloQuantidade,IPI_CodigoEnquadramento,IPI_CodigoSituacaoTributaria,IPI_ValorBC,IPI_Aliquota,IPI_Valor,IPI_Unidade,IPI_ValorUnitario,II_ValorBC,II_ValorDespesasAduaneiras,II_Valor,II_ValorIOF,PIS_CodigoSituacaoTributaria,PIS_ValorBC,PIS_Aliquota,PIS_Valor,PIS_QuantidadeVendida,PIS_ValorAliquota,COFINS_CodigoSituacaoTributaria,COFINS_ValorBC,COFINS_Aliquota,COFINS_Valor,COFINS_QuantidadeVendida,COFINS_ValorAliquota,TOTAIS_ValorProEIPI
NFe42131207384807000467550010000027101638000273,42,63800027,3,VENDA A ORDEM,1,55,1,2710,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,EX2200-24P-4G.,EX 2200, 24-PORT 10/100/1000BASET (24-PORTS POE+) WITH 4 SFP UPLINK PORTS (OPTICS NOT INCLUDED),85176239,6119,UN,1,3840.15,116493.9,1,00,3,0,17.00,750.75,4416.17,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,3840.15,15.00,576.02,0,0.00,0.00,0.00,0.00,0.00,01,3840.15,1.65,63.36,0,0.00,01,3840.15,7.60,291.85,0,0.00,120574.71
NFe42131207384807000467550010000027101638000273,42,63800027,3,VENDA A ORDEM,1,55,1,2710,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,CBL-EX-PWR-C13-BR.,AC POWER CABLE - BRAZIL (10A/250V, 2.5M),85444200,6119,UN,1,182.87,116493.9,1,00,3,0,17.00,32.64,192.01,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,182.87,5.00,9.14,0,0.00,0.00,0.00,0.00,0.00,01,182.87,1.65,3.02,0,0.00,01,182.87,7.60,13.9,0,0.00,120574.71
NFe42131207384807000467550010000027101638000273,42,63800027,3,VENDA A ORDEM,1,55,1,2710,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,EX2200-C-12P-2G.,EX2200-C COMPACT, FANLESS SWITCH WITH 12-PORT 10/100/1000BASET (12-PORTS POE+) AND 2 DUAL-PURPOSE (10/100/1000BASET OR S,85176239,6119,LC,1.0000,2425.82,116493.9,1,00,3,0,17.00,474.25,2789.69,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,2425.82,15.00,363.87,0,0.00,0.00,0.00,0.00,0.00,01,2425.82,1.65,40.03,0,0.00,01,2425.82,7.60,184.36,0,0.00,120574.71
NFe42131207384807000467550010000027101638000273,42,63800027,3,VENDA A ORDEM,1,55,1,2710,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,EX-RMK2.,RACK MOUNT KIT FOR EX2200-C,85177099,6119,UN,1,84.76,116493.9,1,00,3,0,17.00,15.85,93.24,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,84.76,10.00,8.48,0,0.00,0.00,0.00,0.00,0.00,01,84.76,1.65,1.4,0,0.00,01,84.76,7.60,6.44,0,0.00,120574.71
NFe42131207384807000467550010000027101638000273,42,63800027,3,VENDA A ORDEM,1,55,1,2710,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,CABO_HDMI_03542,CABO HDMI P/ AUDIO E VIDEO 1.4 C/ 15M,85444200,6119,UN,18,118.41,116493.9,0,00,3,0,17.00,362.33,2131.38,0.00,0.00,0.00,0.00,0.00,Nenhum,Não informado,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,01,2131.38,1.65,35.17,0,0.00,01,2131.38,7.60,161.98,0,0.00,120574.71
NFe42131207384807000467550010000027101638000273,42,63800027,3,VENDA A ORDEM,1,55,1,2710,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,SUPORTE_00143,SUPORTE PROJETOR TELES TETO T025/045,73269090,6119,UN,18,97.79,116493.9,0,00,3,0,17.00,299.24,1760.22,0.00,0.00,0.00,0.00,0.00,Nenhum,Não informado,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,01,1760.22,1.65,29.04,0,0.00,01,1760.22,7.60,133.78,0,0.00,120574.71
NFe42131207384807000467550010000027101638000273,42,63800027,3,VENDA A ORDEM,1,55,1,2710,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,CABO_VGA_00321,CABO VGA FILTRO DE FERRITE BLINDADO T15 M 8+5 VIAS,85444200,6119,UN,18,82.85,116493.9,0,00,3,0,17.00,253.52,1491.3,0.00,0.00,0.00,0.00,0.00,Nenhum,Não informado,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,01,1491.3,1.65,24.61,0,0.00,01,1491.3,7.60,113.34,0,0.00,120574.71
NFe42131207384807000467550010000027101638000273,42,63800027,3,VENDA A ORDEM,1,55,1,2710,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,SRX100-RMK.,SRX100 19" RACK MOUNT KIT - HOLDS TWO UNITS,85177091,6119,UN,1,309.79,116493.9,1,00,3,0,17.00,57.93,340.77,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,309.79,10.00,30.98,0,0.00,0.00,0.00,0.00,0.00,01,309.79,1.65,5.11,0,0.00,01,309.79,7.60,23.54,0,0.00,120574.71
NFe42131207384807000467550010000027101638000273,42,63800027,3,VENDA A ORDEM,1,55,1,2710,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,INFRA_PRODUTO_1,MATERIAL DE INFRAESTRUTURA,85177099,6119,UN,1,82805.11,116493.9,0,00,3,0,17.00,14076.87,82805.11,0.00,0.00,0.00,0.00,0.00,Nenhum,Não informado,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,01,82805.11,1.65,1366.28,0,0.00,01,82805.11,7.60,6293.19,0,0.00,120574.71
NFe42131207384807000467550010000027101638000273,42,63800027,3,VENDA A ORDEM,1,55,1,2710,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,CABO_AUDIO-P2-10M,CABO DE AUDIO P2 10 M,85441990,6119,UN,18,37.05,116493.9,0,00,3,0,17.00,113.37,666.9,0.00,0.00,0.00,0.00,0.00,Nenhum,Não informado,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,01,666.9,1.65,11,0,0.00,01,666.9,7.60,50.68,0,0.00,120574.71
